Coin/Token,"Maker Fee (Buy/Sell)A ""Maker"" refers to a trader who posts P2P Ads to buy or sell crypto.",Taker Fee (Buy/Sell)Taker is a user who places a bid on P2P buy/sell advertisements,Unnamed: 3
,,,
ADAADA,0.1% / 0.1%,0.1% / 0.1%,
ASTERASTER,0.1% / 0.1%,0.1% / 0.1%,
BNBBinance Coin,0.1% / 0.1%,0.1% / 0.1%,
BTCBitcoin,0.1% / 0.1%,0.1% / 0.1%,
DOGEDoge Coin,0.1% / 0.1%,0.1% / 0.1%,
ETHEthereum,0.1% / 0.1%,0.1% / 0.1%,
FDUSDFirst Digital USD,0.1% / 0.1%,0.1% / 0.1%,
PEPEPepe,0.1% / 0.1%,0.1% / 0.1%,
SHIBSHIBA INU,0.1% / 0.1%,0.1% / 0.1%,
SOLSOLANA,0.1% / 0.1%,0.1% / 0.1%,
TRUMPOFFICIAL TRUMP,0.1% / 0.1%,0.1% / 0.1%,
TRXTRON,0.1% / 0.1%,0.1% / 0.1%,
USDCUSDC,0.1% / 0.1%,0.1% / 0.1%,
USDTTetherUS,0.1% / 0.1%,0.1% / 0.1%,
